model,id,category,text,intelligibility_1to5,naturalness_1to5,code_switch_handling_1to5,speaker_quality_1to5,roman_treated_as_english,silence_or_skip,end_of_clip_pop,notes
kokoro,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,4,5,4,FALSE,FALSE,FALSE,CER=0.00 + UTMOS=4.37 + SQUIM_MOS=4.45 (mean 4.41) → clean Devanagari; PESQ=3.63 → 4; silence_mid=0.42 under threshold.
indicf5,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,4,5,4,FALSE,FALSE,FALSE,CER=0.00 + UTMOS=3.80 + SQUIM_MOS=4.46 (mean 4.13) → 4; PESQ=3.61→4; silence_mid=0.18 clean.
indic_parler,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,3,5,4,FALSE,TRUE,FALSE,CER=0.00 → 5 intel; UTMOS=3.96 + SQUIM_MOS=4.46 mean 4.21→4 then -1 for silence_mid=0.52>0.5; PESQ=3.67→4; end_pop=14.41 but terminal=0.002<0.005 so pop FALSE.
springlab_f5,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,4,5,5,FALSE,FALSE,FALSE,CER=0.00 + UTMOS=3.83 + SQUIM_MOS=4.13 (mean 3.98) → 4; PESQ=4.09 → 5; end_pop=-67.49 dB silent tail.
kokoro,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,4,5,4,FALSE,FALSE,FALSE,CER=0.00 + UTMOS=4.42 + SQUIM_MOS=4.46 (mean 4.44) → 4; PESQ=3.71→4; silence_mid=0.38 clean.
indicf5,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,4,5,5,FALSE,FALSE,FALSE,CER=0.00 + UTMOS=4.26 + SQUIM_MOS=4.46 (mean 4.36) → 4; PESQ=4.23→5; end_pop=9.9 but terminal=0.0<0.005 so pop FALSE.
indic_parler,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,3,5,4,FALSE,FALSE,FALSE,CER=0.00 → 5 intel; UTMOS=3.54 vs SQUIM_MOS=4.44 disagreement=0.90>0.7 → mean 3.99 dropped to 3; PESQ=3.93→4; end_pop=9.2 but terminal=0.0033<0.005 so pop FALSE.
springlab_f5,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,3,5,5,FALSE,FALSE,FALSE,CER=0.00 → 5 intel; UTMOS=3.40 vs SQUIM_MOS=4.46 disagreement=1.06>0.7 → mean 3.93 dropped to 3; PESQ=4.09→5; end_pop=-70.3 silent tail.
kokoro,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,4,4,4,4,FALSE,FALSE,FALSE,"CER=0.1321 (loanword 'school' rendered Roman by ASR, phonetically correct) → 4; UTMOS=4.42 + SQUIM_MOS=4.46 mean 4.44→4; PESQ=3.97→4."
indicf5,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,4,4,4,4,FALSE,FALSE,FALSE,CER=0.1321 (loanword 'school' rendered Roman in transcript_hi but speech intelligible) → intel 4; UTMOS=4.245 + SQUIM_MOS=4.464 (mean≈4.35) → naturalness 4; PESQ=3.713 → speaker 4; end_pop_db=8.72 but terminal=0.0038 (<0.005) → no pop; silence_mid=0.36 (<0.5) → no skip.
indic_parler,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,4,3,4,3,FALSE,FALSE,FALSE,CER=0.1321 (loanword 'school') → 4 intel; UTMOS=3.54 vs SQUIM_MOS=4.45 disagreement=0.91>0.7 → mean 3.99 dropped to 3; PESQ=3.39→3; end_pop=15.08 but terminal=0.0031<0.005 so pop FALSE.
springlab_f5,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,4,4,4,4,FALSE,FALSE,FALSE,"CER=0.1321 ('school' transcribed Roman, phonetically correct) → intel 4; UTMOS=4.223 + SQUIM_MOS=4.452 (mean≈4.34) → naturalness 4; PESQ=3.986 → speaker 4; end_pop_db=-69.81 + terminal=0.0 → clean tail."
kokoro,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",5,4,5,4,FALSE,FALSE,FALSE,CER=0.0392 (≤0.05) → intel 5; UTMOS=4.413 + SQUIM_MOS=4.446 (mean≈4.43) → naturalness 4; PESQ=3.726 → speaker 4; silence_mid=0.40 (<0.5) and end_pop_db=2.16 → no flags.
indicf5,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",4,4,4,5,FALSE,FALSE,FALSE,"CER=0.0588 → intel 4; UTMOS=4.044 + SQUIM_MOS=4.457 (mean≈4.25) → naturalness 4; PESQ=4.173 (≥4.0) → speaker 5; silence_mid=0.36, end_pop_db=2.97 → no flags."
indic_parler,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",4,4,4,4,FALSE,FALSE,FALSE,"CER=0.0588 (>0.05) → intel 4; UTMOS=3.948 + SQUIM_MOS=4.457 (mean≈4.20, diff=0.51<0.7) → naturalness 4; PESQ=3.945 → speaker 4; end_pop_db=6.18 but terminal=0.0034 (<0.005) → no pop."
springlab_f5,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",4,4,4,5,FALSE,FALSE,FALSE,CER=0.0784 → intel 4; UTMOS=3.96 + SQUIM_MOS=4.147 (mean≈4.05) → naturalness 4; PESQ=4.07 (≥4.0) → speaker 5; end_pop_db=-73.93 + terminal=0.0 → clean tail.
