model,id,category,text,intelligibility_v2,naturalness_v2,code_switch_v2,speaker_quality_v2,roman_treated_as_english_v2,silence_or_skip_v2,end_of_clip_pop_v2,auto_score_confidence_v2,notes_v2
kokoro,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,ear-only,5,4,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.000 groq=0.000 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.63 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,ear-only,5,4,,TRUE,FALSE,HIGH,unified_CER aai=0.045 dg=0.000 groq=0.091 → intel_per [aai=5 dg=5 groq=4] median=5; silent_per [aai=1 dg=1 groq=1] (rule: TRUE iff ≥2/3); PESQ=3.67 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,ear-only,5,4,,FALSE,FALSE,LOW,unified_CER aai=1.000 dg=0.000 groq=0.000 → intel_per [aai=1 dg=5 groq=5] median=5; silent_per [aai=1 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.61 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,ear-only,5,5,,FALSE,FALSE,LOW,unified_CER aai=1.000 dg=0.000 groq=0.000 → intel_per [aai=1 dg=5 groq=5] median=5; silent_per [aai=1 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.09 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,ear-only,5,4,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.000 groq=0.000 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.71 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,ear-only,5,4,,FALSE,FALSE,LOW,unified_CER aai=1.000 dg=0.000 groq=0.000 → intel_per [aai=1 dg=5 groq=5] median=5; silent_per [aai=1 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.92 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indicf5,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,ear-only,5,5,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.000 groq=0.000 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.23 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
springlab_f5,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,ear-only,5,5,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.000 groq=0.000 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=4.09 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
kokoro,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,ear-only,5,4,,FALSE,FALSE,HIGH,unified_CER aai=0.000 dg=0.019 groq=0.019 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.97 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
indic_parler,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,ear-only,5,3,,FALSE,FALSE,HIGH,unified_CER aai=0.019 dg=0.019 groq=0.019 → intel_per [aai=5 dg=5 groq=5] median=5; silent_per [aai=0 dg=0 groq=0] (rule: TRUE iff ≥2/3); PESQ=3.39 (synthetic-relative only); naturalness=ear-only per CEILING_REPORT.md.
