model,id,category,text,intelligibility_1to5,naturalness_1to5,code_switch_handling_1to5,speaker_quality_1to5,roman_treated_as_english,silence_or_skip,end_of_clip_pop,notes
kokoro,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,4,5,4,FALSE,FALSE,FALSE,CER=0.0 (perfect Devanagari) + UTMOS=4.37/SQUIM_MOS=4.45 (mean 4.41) + PESQ=3.63 + silence=0.42s; clean baseline.
indicf5,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,4,5,4,FALSE,FALSE,FALSE,"CER=0.0 + mean(UTMOS=3.80, SQUIM_MOS=4.46)=4.13 with disagreement=0.65 (<0.7) → 4; PESQ=3.61; no DSP flags."
indic_parler,01,pure_devanagari,कल मुझे दिल्ली जाना है।,4,3,4,4,FALSE,TRUE,FALSE,"CER=0.0909 (minor slur 'खल'/'दिल ली') + mean(UTMOS=3.96, SQUIM_MOS=4.46)=4.21 dropped 1 rank for silence_mid_clip_s=0.52>0.5; PESQ=3.67; end_pop_db=14.41 but terminal=0.002<0.005."
springlab_f5,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,4,5,5,FALSE,FALSE,FALSE,"CER=0.0 + mean(UTMOS=3.83, SQUIM_MOS=4.13)=3.98 (disagreement 0.30) → 4; PESQ=4.09 → 5; end_pop_db=-67.49 clean."
kokoro,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,4,5,4,FALSE,FALSE,FALSE,"CER=0.0 + mean(UTMOS=4.42, SQUIM_MOS=4.46)=4.44 → 4; PESQ=3.71; silence=0.38s; clean question prosody."
indicf5,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,4,5,5,FALSE,FALSE,FALSE,"CER=0.0 + mean(UTMOS=4.26, SQUIM_MOS=4.46)=4.36 → 4; PESQ=4.23 → 5; end_pop_db=9.9 but terminal=0.0; strong baseline."
indic_parler,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,3,5,4,FALSE,FALSE,FALSE,"CER=0.0 perfect; mean(UTMOS=3.54, SQUIM_MOS=4.44)=3.99 with disagreement=0.90>0.7 → uncertainty penalty drops to 3; PESQ=3.93; end_pop_db=9.2 but terminal=0.0033<0.005."
springlab_f5,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,3,5,5,FALSE,FALSE,FALSE,"CER=0.0 perfect; mean(UTMOS=3.40, SQUIM_MOS=4.46)=3.93 with disagreement=1.06>0.7 → uncertainty penalty drops to 3; PESQ=4.09 → 5; clean tail end_pop=-70.34."
kokoro,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,4,5,4,FALSE,FALSE,FALSE,"CER=0.0189 (only schwa/matra delta on तबीयत/तबियत) + mean(UTMOS=4.42, SQUIM_MOS=4.46)=4.44 → 4; PESQ=3.97; loanword 'स्कूल' rendered cleanly."
indicf5,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,4,5,4,FALSE,FALSE,FALSE,CER=0.0189 (clean Devanagari) + UTMOS=4.245 + SQUIM_MOS=4.464 → strong rendering; PESQ=3.713 → speaker 4; end_pop_db=8.72 but terminal=0.0038 (<0.005) so no pop flag.
indic_parler,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,3,5,3,FALSE,FALSE,FALSE,"CER=0.0189 (matra-level delta on तबीयत) + mean(UTMOS=3.54, SQUIM_MOS=4.45)=3.99 with disagreement=0.91>0.7 → drop to 3; PESQ=3.39 → 3; end_pop_db=15.08 but terminal=0.0031<0.005."
springlab_f5,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,4,5,4,FALSE,FALSE,FALSE,CER=0.0189 + UTMOS=4.223 + SQUIM_MOS=4.452 → mean=4.34; PESQ=3.986 → speaker 4; end_pop_db=-69.81 → no pop.
kokoro,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",3,4,3,4,FALSE,FALSE,FALSE,CER=0.1765 (numerals rendered as '300' not 'तीन सौ') → 3; UTMOS=4.413 + SQUIM_MOS=4.446 mean=4.43 → naturalness 4; PESQ=3.726 → 4; end_pop_db=2.16 no pop.
