model,id,category,text,intelligibility_1to5,naturalness_1to5,code_switch_handling_1to5,speaker_quality_1to5,roman_treated_as_english,silence_or_skip,end_of_clip_pop,notes
indicf5_patched,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,4,5,5,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,4,5,5,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,4,5,5,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",3,3,3,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,05,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",5,4,5,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,06,pure_devanagari,"आज बहुत थक गया हूँ, बस सीधा सोना चाहता हूँ।",5,3,5,3,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,07,pure_devanagari,तुझे पता है कल मीटिंग कितने बजे है?,5,4,5,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,08,pure_devanagari,"अरे यार, मेरा फ़ोन कहाँ रखा था?!",5,4,5,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,09,pure_roman,kal mujhe office jaana hai,1,3,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,10,pure_roman,mera naam Arjun hai aur mai Bengaluru se hu,1,4,1,3,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,11,pure_roman,yaar tu kal kya kar raha tha,1,4,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,12,pure_roman,kya tu bhi aaj party me aa raha hai?,1,3,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,13,pure_roman,"abe yaar jaldi reply kar, mai wait kar raha hu",1,3,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,14,pure_roman,"kal raat ka movie tha bohot bakwaas, paisa bilkul waste",1,3,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,15,pure_roman,tera laptop kab tak deliver hoga bhai?,1,4,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,16,pure_roman,"yaar tu bohot lucky hai, mujhe nahi mila ticket!",1,4,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,17,mixed_script,"Kal mujhe ऑफिस जाना hai, but ट्राफिक will be an issue.",1,4,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,18,mixed_script,"Mera presentation tomorrow है, और मैं nervous हूं।",1,4,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,19,mixed_script,"Bhai please मेरा homework कर दे, मैं तुझे ₹100 दूंगा।",2,4,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,20,mixed_script,Tumne वो new restaurant try kiya jo Connaught Place में khula hai?,1,4,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,21,mixed_script,"कल का event cancel हो गया, सबको message कर देना please।",2,4,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,22,mixed_script,"Boss को बता देना kal मैं leave पर रहूँगा, kuch personal काम है।",2,4,1,5,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,23,mixed_script,"Ye file को quickly review करो, deadline बहुत close है।",1,4,1,5,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,24,english_with_NE,My friend Aishwarya from Chennai is visiting Bengaluru next week.,1,4,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,25,english_with_NE,Mr. Khanna will join the meeting after he finishes lunch with Priya.,1,3,1,5,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,26,english_with_NE,I love butter chicken from Karim's in Old Delhi.,1,3,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,27,mixed_script,"Office में सब log lunch के लिए बाहर गए, तू भी आ ja yaar.",2,4,1,5,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,28,english_with_NE,Rohan is flying from Mumbai to Bengaluru tomorrow morning for work.,1,3,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,29,english_with_NE,Let's grab biryani from Paradise in Hyderabad this weekend.,1,4,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
indicf5_patched,30,english_with_NE,She just got hired at Tata Consultancy Services in Pune.,1,4,1,4,FALSE,FALSE,FALSE,3-ASR consensus (AAI/DG/Groq)
