model,id,category,text,text_normalized,intelligibility_1to5,naturalness_1to5,code_switch_handling_1to5,speaker_quality_1to5,silence_or_skip,end_of_clip_pop,rubric_version,asr_backend,cer_devanagari_norm,squim_pesq,notes
indicf5_patched_xlit_v2,1,pure_devanagari,कल मुझे दिल्ली जाना है।,कल मुझे दिल्ली जाना है।,1,EAR_ONLY,1,4,FALSE,FALSE,2.1,aai,1.0,3.757,cer_norm=1.000; squim_pesq=3.757; silence_mid=0.28s
indicf5_patched_xlit_v2,2,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,क्या आप मुझे पानी दे सकते हैं?,5,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.0,4.227,cer_norm=0.000; squim_pesq=4.227; silence_mid=0.30s
indicf5_patched_xlit_v2,3,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.0,4.232,cer_norm=0.000; squim_pesq=4.232; silence_mid=0.32s
indicf5_patched_xlit_v2,4,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।","मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",3,EAR_ONLY,3,4,FALSE,FALSE,2.1,aai,0.2745,3.743,cer_norm=0.275; squim_pesq=3.743; silence_mid=0.36s
indicf5_patched_xlit_v2,5,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।","जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",5,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.0256,4.133,cer_norm=0.026; squim_pesq=4.133; silence_mid=0.18s
indicf5_patched_xlit_v2,6,pure_devanagari,"आज बहुत थक गया हूँ, बस सीधा सोना चाहता हूँ।","आज बहुत थक गया हूँ, बस सीधा सोना चाहता हूँ।",5,EAR_ONLY,5,4,FALSE,FALSE,2.1,aai,0.0,3.667,cer_norm=0.000; squim_pesq=3.667; silence_mid=0.22s
indicf5_patched_xlit_v2,7,pure_devanagari,तुझे पता है कल मीटिंग कितने बजे है?,तुझे पता है कल मीटिंग कितने बजे है?,5,EAR_ONLY,5,5,FALSE,FALSE,2.1,aai,0.0294,4.109,cer_norm=0.029; squim_pesq=4.109; silence_mid=0.18s
indicf5_patched_xlit_v2,8,pure_devanagari,"अरे यार, मेरा फ़ोन कहाँ रखा था?!","अरे यार, मेरा फ़ोन कहाँ रखा था?!",5,EAR_ONLY,5,4,FALSE,FALSE,2.1,aai,0.0345,3.889,cer_norm=0.035; squim_pesq=3.889; silence_mid=0.26s
indicf5_patched_xlit_v2,9,pure_roman,kal mujhe office jaana hai,कल मुझे ऑफिस जाना है,1,EAR_ONLY,1,4,FALSE,FALSE,2.1,aai,1.0,3.621,cer_norm=1.000; squim_pesq=3.621; silence_mid=0.12s
indicf5_patched_xlit_v2,10,pure_roman,mera naam Arjun hai aur mai Bengaluru se hu,मेरा नाम अर्जुन है और मैं बेंगलुरु से हूं,5,EAR_ONLY,5,4,FALSE,FALSE,2.1,aai,0.0244,3.739,cer_norm=0.024; squim_pesq=3.739; silence_mid=0.32s
indicf5_patched_xlit_v2,11,pure_roman,yaar tu kal kya kar raha tha,यार तू कल क्या कर रहा था,1,EAR_ONLY,1,5,FALSE,FALSE,2.1,aai,1.0,4.145,cer_norm=1.000; squim_pesq=4.145; silence_mid=0.10s
