model,id,category,text,intelligibility_1to5,naturalness_1to5,code_switch_handling_1to5,speaker_quality_1to5,roman_treated_as_english,silence_or_skip,end_of_clip_pop,notes
kokoro,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,4,5,4,FALSE,FALSE,FALSE,"CER=0.0 (perfect Devanagari) + UTMOS=4.37, SQUIM_MOS=4.45 (mean=4.41) + PESQ=3.63 + silence_mid=0.42<0.5 + end_pop_db=-0.56 (no flags)."
indicf5,01,pure_devanagari,कल मुझे दिल्ली जाना है।,1,3,1,4,FALSE,TRUE,FALSE,transcript_hi empty → CER=1.0 → intel=1 and silence_or_skip=TRUE (>20% words missing); UTMOS=3.80 + SQUIM_MOS=4.46 (mean=4.13→4) dropped 1 rank for truncation → nat=3; PESQ=3.61 → spk=4; end_pop_db=-1.49 → no pop.
indic_parler,01,pure_devanagari,कल मुझे दिल्ली जाना है।,5,3,5,4,FALSE,TRUE,FALSE,CER=0.0455 (≤0.05) → intel=5; UTMOS=3.96 + SQUIM_MOS=4.46 (mean=4.21→4) but silence_mid=0.52>0.5 dropped naturalness 1 rank to 3 and triggered silence_or_skip=TRUE; PESQ=3.67 → spk=4; end_pop_db=14.41 but terminal=0.002<0.005 → no pop.
springlab_f5,01,pure_devanagari,कल मुझे दिल्ली जाना है।,1,3,1,5,FALSE,TRUE,FALSE,transcript_hi empty → CER=1.0 → intel=1 and silence_or_skip=TRUE; UTMOS=3.83 + SQUIM_MOS=4.13 (mean=3.98→4) dropped 1 rank for truncation → nat=3; PESQ=4.09 → spk=5; end_pop_db=-67.49 → no pop.
kokoro,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,4,5,4,FALSE,FALSE,FALSE,CER=0.0 → intel=5; UTMOS=4.42 + SQUIM_MOS=4.46 (mean=4.44→4); PESQ=3.71 → spk=4; silence_mid=0.38<0.5 + end_pop_db=-17.55 (no flags).
indicf5,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,4,5,5,FALSE,FALSE,FALSE,CER=0.0 → intel=5; UTMOS=4.26 + SQUIM_MOS=4.46 (mean=4.36→4); PESQ=4.23 → spk=5; end_pop_db=9.9 but terminal=0.0<0.005 → no pop; silence_mid=0.26<0.5.
indic_parler,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,1,2,1,4,FALSE,TRUE,FALSE,transcript_hi empty → CER=1.0 → intel=1 and silence_or_skip=TRUE; UTMOS=3.54 + SQUIM_MOS=4.44 disagree by 0.90>0.7 (mean=3.99→4) dropped 1 for uncertainty + 1 for truncation → nat=2; PESQ=3.93 → spk=4; end_pop_db=9.2 but terminal=0.0033<0.005 → no pop.
springlab_f5,02,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,5,3,5,5,FALSE,FALSE,FALSE,CER=0.0 → intel=5; UTMOS=3.40 + SQUIM_MOS=4.46 disagree by 1.06>0.7 (mean=3.93→4) dropped 1 for uncertainty → nat=3; PESQ=4.09 → spk=5; end_pop_db=-70.34 → no pop.
kokoro,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,4,5,4,FALSE,FALSE,FALSE,CER=0.0 (loanword स्कूल rendered cleanly) + UTMOS=4.42 + SQUIM_MOS=4.46 (mean=4.44→4); PESQ=3.97 → spk=4; silence_mid=0.44<0.5 + end_pop_db=2.3 (no flags).
indicf5,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,4,5,4,FALSE,FALSE,FALSE,CER=0.0 + UTMOS=4.25 + SQUIM_MOS=4.46 -> clean Devanagari rendering; PESQ=3.71 -> speaker_quality=4; end_pop_db=8.72 but terminal=0.0038<0.005 so no pop flag.
indic_parler,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,3,5,3,FALSE,FALSE,FALSE,CER=0.0189 → intel=5; UTMOS=3.54 + SQUIM_MOS=4.45 disagree by 0.91>0.7 (mean=3.99→4) dropped 1 for uncertainty → nat=3; PESQ=3.39 → spk=3; end_pop_db=15.08 but terminal=0.0031<0.005 → no pop; silence_mid=0.22<0.5.
springlab_f5,03,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,5,4,5,4,FALSE,FALSE,FALSE,"CER=0.0189 + UTMOS=4.22 + SQUIM_MOS=4.45 -> near-perfect Devanagari; PESQ=3.99 -> speaker_quality=4; end_pop_db=-69.81 (silent tail), no pop."
kokoro,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",4,4,4,4,FALSE,FALSE,FALSE,"CER=0.1961 mostly from ASR rewriting 'तीन सौ' as '300' (phonetic-not-wrong, +1 adjust); UTMOS=4.41 + SQUIM_MOS=4.45 -> naturalness=4; PESQ=3.73 -> 4; end_pop_db=2.16 clean."
indicf5,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",4,4,4,5,FALSE,FALSE,FALSE,"CER=0.2745 mainly from ASR rendering 'तीन सौ' as '₹300' (phonetic-not-wrong, +1 adjust); UTMOS=4.04 + SQUIM_MOS=4.46 -> 4; PESQ=4.17 -> 5; end_pop_db=2.97 clean."
indic_parler,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",3,4,3,4,FALSE,FALSE,FALSE,CER=0.2941 -> 3; numeral substitution offset by 'चल लो' vs 'चला लो' real miss; UTMOS=3.95 + SQUIM_MOS=4.46 mean=4.2; PESQ=3.95 -> 4; end_pop_db=6.18 but terminal=0.0034<0.005 no pop.
springlab_f5,04,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",3,4,3,5,FALSE,FALSE,FALSE,CER=0.3137 -> base 2; numeral substitution + 'लूं' vs 'लो' minor (+1 phonetic adjust) -> 3; UTMOS=3.96 + SQUIM_MOS=4.15 mean=4.05; PESQ=4.07 -> 5; end_pop_db=-73.93 silent tail.
kokoro,05,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",5,4,5,4,FALSE,FALSE,FALSE,CER=0.0256 -> crystal-clear Devanagari; UTMOS=4.38 + SQUIM_MOS=4.45 mean=4.41 -> 4; PESQ=3.81 -> 4; end_pop_db=2.41 clean.
indicf5,05,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",5,4,5,5,FALSE,FALSE,FALSE,CER=0.0256 -> 5; UTMOS=3.83 + SQUIM_MOS=4.45 diff=0.62<0.7 mean=4.14 -> 4; PESQ=4.21 -> 5; end_pop_db=-29 silent tail.
indic_parler,05,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",5,3,5,4,FALSE,FALSE,FALSE,CER=0.0256 -> intelligibility=5; UTMOS=3.49 vs SQUIM_MOS=4.47 diff=0.98>0.7 -> drop one rank to 3; PESQ=3.77 -> 4; end_pop_db=11.4 but terminal=0.0017<0.005 no pop.
