model,id,category,text,intelligibility_1to5,naturalness_1to5,code_switch_handling_1to5,speaker_quality_1to5,roman_treated_as_english,silence_or_skip,end_of_clip_pop,notes
kokoro,1,pure_devanagari,कल मुझे दिल्ली जाना है।,2,2,3,2,3,3,3,it
indicf5,1,pure_devanagari,कल मुझे दिल्ली जाना है।,,,,,,,,
indic_parler,1,pure_devanagari,कल मुझे दिल्ली जाना है।,,,,,,,,
springlab_f5,1,pure_devanagari,कल मुझे दिल्ली जाना है।,,,,,,,,
orpheus_hi,1,pure_devanagari,कल मुझे दिल्ली जाना है।,,,,,,,,
kokoro,2,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,,,,,,,,
indicf5,2,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,,,,,,,,
indic_parler,2,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,,,,,,,,
springlab_f5,2,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,,,,,,,,
orpheus_hi,2,pure_devanagari,क्या आप मुझे पानी दे सकते हैं?,,,,,,,,
kokoro,3,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,,,,,,,,
indicf5,3,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,,,,,,,,
indic_parler,3,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,,,,,,,,
springlab_f5,3,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,,,,,,,,
orpheus_hi,3,pure_devanagari,मेरा भाई आज स्कूल नहीं गया क्योंकि उसकी तबीयत खराब है।,,,,,,,,
kokoro,4,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",,,,,,,,
indicf5,4,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",,,,,,,,
indic_parler,4,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",,,,,,,,
springlab_f5,4,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",,,,,,,,
orpheus_hi,4,pure_devanagari,"मेरे पास सिर्फ़ तीन सौ रुपये हैं, बस इतने में चला लो।",,,,,,,,
kokoro,5,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",,,,,,,,
indicf5,5,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",,,,,,,,
indic_parler,5,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",,,,,,,,
springlab_f5,5,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",,,,,,,,
orpheus_hi,5,pure_devanagari,"जल्दी आओ यार, सब तेरा इंतज़ार कर रहे हैं।",,,,,,,,
kokoro,6,pure_devanagari,"आज बहुत थक गया हूँ, बस सीधा सोना चाहता हूँ।",,,,,,,,
indicf5,6,pure_devanagari,"आज बहुत थक गया हूँ, बस सीधा सोना चाहता हूँ।",,,,,,,,
indic_parler,6,pure_devanagari,"आज बहुत थक गया हूँ, बस सीधा सोना चाहता हूँ।",,,,,,,,
springlab_f5,6,pure_devanagari,"आज बहुत थक गया हूँ, बस सीधा सोना चाहता हूँ।",,,,,,,,
orpheus_hi,6,pure_devanagari,"आज बहुत थक गया हूँ, बस सीधा सोना चाहता हूँ।",,,,,,,,
kokoro,7,pure_devanagari,तुझे पता है कल मीटिंग कितने बजे है?,,,,,,,,
indicf5,7,pure_devanagari,तुझे पता है कल मीटिंग कितने बजे है?,,,,,,,,
indic_parler,7,pure_devanagari,तुझे पता है कल मीटिंग कितने बजे है?,,,,,,,,
springlab_f5,7,pure_devanagari,तुझे पता है कल मीटिंग कितने बजे है?,,,,,,,,
orpheus_hi,7,pure_devanagari,तुझे पता है कल मीटिंग कितने बजे है?,,,,,,,,
kokoro,8,pure_devanagari,"अरे यार, मेरा फ़ोन कहाँ रखा था?!",,,,,,,,
indicf5,8,pure_devanagari,"अरे यार, मेरा फ़ोन कहाँ रखा था?!",,,,,,,,
indic_parler,8,pure_devanagari,"अरे यार, मेरा फ़ोन कहाँ रखा था?!",,,,,,,,
springlab_f5,8,pure_devanagari,"अरे यार, मेरा फ़ोन कहाँ रखा था?!",,,,,,,,
orpheus_hi,8,pure_devanagari,"अरे यार, मेरा फ़ोन कहाँ रखा था?!",,,,,,,,
kokoro,9,pure_roman,kal mujhe office jaana hai,,,,,,,,
indicf5,9,pure_roman,kal mujhe office jaana hai,,,,,,,,
indic_parler,9,pure_roman,kal mujhe office jaana hai,,,,,,,,
springlab_f5,9,pure_roman,kal mujhe office jaana hai,,,,,,,,
orpheus_hi,9,pure_roman,kal mujhe office jaana hai,,,,,,,,
kokoro,10,pure_roman,mera naam Arjun hai aur mai Bengaluru se hu,,,,,,,,
indicf5,10,pure_roman,mera naam Arjun hai aur mai Bengaluru se hu,,,,,,,,
indic_parler,10,pure_roman,mera naam Arjun hai aur mai Bengaluru se hu,,,,,,,,
springlab_f5,10,pure_roman,mera naam Arjun hai aur mai Bengaluru se hu,,,,,,,,
orpheus_hi,10,pure_roman,mera naam Arjun hai aur mai Bengaluru se hu,,,,,,,,
kokoro,11,pure_roman,yaar tu kal kya kar raha tha,,,,,,,,
indicf5,11,pure_roman,yaar tu kal kya kar raha tha,,,,,,,,
indic_parler,11,pure_roman,yaar tu kal kya kar raha tha,,,,,,,,
springlab_f5,11,pure_roman,yaar tu kal kya kar raha tha,,,,,,,,
orpheus_hi,11,pure_roman,yaar tu kal kya kar raha tha,,,,,,,,
kokoro,12,pure_roman,kya tu bhi aaj party me aa raha hai?,,,,,,,,
indicf5,12,pure_roman,kya tu bhi aaj party me aa raha hai?,,,,,,,,
indic_parler,12,pure_roman,kya tu bhi aaj party me aa raha hai?,,,,,,,,
springlab_f5,12,pure_roman,kya tu bhi aaj party me aa raha hai?,,,,,,,,
orpheus_hi,12,pure_roman,kya tu bhi aaj party me aa raha hai?,,,,,,,,
kokoro,13,pure_roman,"abe yaar jaldi reply kar, mai wait kar raha hu",,,,,,,,
indicf5,13,pure_roman,"abe yaar jaldi reply kar, mai wait kar raha hu",,,,,,,,
indic_parler,13,pure_roman,"abe yaar jaldi reply kar, mai wait kar raha hu",,,,,,,,
springlab_f5,13,pure_roman,"abe yaar jaldi reply kar, mai wait kar raha hu",,,,,,,,
orpheus_hi,13,pure_roman,"abe yaar jaldi reply kar, mai wait kar raha hu",,,,,,,,
kokoro,14,pure_roman,"kal raat ka movie tha bohot bakwaas, paisa bilkul waste",,,,,,,,
indicf5,14,pure_roman,"kal raat ka movie tha bohot bakwaas, paisa bilkul waste",,,,,,,,
indic_parler,14,pure_roman,"kal raat ka movie tha bohot bakwaas, paisa bilkul waste",,,,,,,,
springlab_f5,14,pure_roman,"kal raat ka movie tha bohot bakwaas, paisa bilkul waste",,,,,,,,
orpheus_hi,14,pure_roman,"kal raat ka movie tha bohot bakwaas, paisa bilkul waste",,,,,,,,
kokoro,15,pure_roman,tera laptop kab tak deliver hoga bhai?,,,,,,,,
indicf5,15,pure_roman,tera laptop kab tak deliver hoga bhai?,,,,,,,,
indic_parler,15,pure_roman,tera laptop kab tak deliver hoga bhai?,,,,,,,,
springlab_f5,15,pure_roman,tera laptop kab tak deliver hoga bhai?,,,,,,,,
orpheus_hi,15,pure_roman,tera laptop kab tak deliver hoga bhai?,,,,,,,,
kokoro,16,pure_roman,"yaar tu bohot lucky hai, mujhe nahi mila ticket!",,,,,,,,
indicf5,16,pure_roman,"yaar tu bohot lucky hai, mujhe nahi mila ticket!",,,,,,,,
indic_parler,16,pure_roman,"yaar tu bohot lucky hai, mujhe nahi mila ticket!",,,,,,,,
